id,value,location,sample date,measure,month,year
1328216,1,Decha,02-Jul-05,Cyanides,October,2010
1327893,1.758,Decha,17-Jan-10,Cyanides,January,2010
1327972,2.122,Decha,18-Mar-10,Cyanides,March,2010
1327935,2.189,Decha,19-Feb-10,Cyanides,Feburary,2010
1328046,2.19,Decha,19-May-10,Cyanides,May,2010
1328009,2.58,Decha,17-Apr-10,Cyanides,April,2010
1328116,2.986,Decha,16-Jul-10,Cyanides,July,2010
1328140,3.979,Decha,21-Aug-10,Cyanides,August,2010
1328180,3.979,Decha,16-Sep-10,Cyanides,September,2010
1328269,4.44,Decha,16-Dec-10,Cyanides,December,2010
